Cloudflare IP Optimizer — 完整测试结果
测试时间: 2026-06-18 10:05:16
成功: 2546 / 失败: 5584 / 总计: 8130

======================================================================
IP                                               延迟   Colo   Loc     状态码
----------------------------------------------------------------------
108.165.216.125                               44.1ms    ORD    US     200
104.21.84.200                                 45.7ms    ORD    US     200
104.21.33.223                                 46.0ms    ORD    US     200
104.21.89.78                                  46.2ms    ORD    US     200
104.21.23.151                                 46.5ms    ORD    US     200
104.21.72.73                                  46.5ms    ORD    US     200
104.24.26.157                                 48.7ms    ORD    US     200
104.21.81.116                                 49.7ms    ORD    US     200
104.21.5.73                                   49.9ms    ORD    US     200
104.24.32.88                                  49.9ms    ORD    US     200
104.21.26.57                                  50.1ms    ORD    US     200
104.24.67.50                                  50.2ms    ORD    US     200
104.21.73.251                                 50.3ms    ORD    US     200
104.24.29.194                                 50.3ms    ORD    US     200
104.21.0.189                                  50.4ms    ORD    US     200
104.21.15.60                                  50.7ms    ORD    US     200
104.21.17.241                                 51.2ms    ORD    US     200
104.24.35.160                                 51.6ms    ORD    US     200
104.21.90.120                                 51.8ms    ORD    US     200
147.78.140.10                                 51.9ms    ORD    US     200
141.101.113.147                               52.1ms    ORD    US     200
104.21.40.18                                  52.4ms    ORD    US     200
104.24.92.233                                 52.6ms    ORD    US     200
104.21.94.136                                 53.3ms    ORD    US     200
104.24.31.96                                  53.4ms    ORD    US     200
104.21.75.23                                  53.7ms    DFW    US     200
104.21.35.214                                 54.0ms    DFW    US     200
104.21.54.42                                  54.0ms    ORD    US     200
172.64.186.9                                  54.7ms    DFW    US     200
104.21.14.156                                 54.8ms    ORD    US     200
104.18.10.91                                  54.9ms    ORD    US     200
104.21.18.71                                  55.0ms    ORD    US     200
104.24.38.6                                   55.0ms    ORD    US     200
104.239.72.79                                 55.0ms    ORD    US     200
104.21.7.137                                  55.1ms    ORD    US     200
104.24.89.130                                 55.3ms    ORD    US     200
104.31.16.218                                 55.3ms    ORD    US     200
104.24.33.193                                 55.4ms    DFW    US     200
104.24.37.251                                 55.4ms    ORD    US     200
104.21.25.199                                 55.5ms    ORD    US     200
